SWEAT index,K index,Totals totals index,Date,TH,Environmental Stability,Moisture Indices,Convective Potential,Temperature Pressure,Moisture Temperature Profiles
253.9,40.9,49.2,1981-07-11,0,1.0999999999999996,48.6,3.0,5754,933.59
221.0,36.9,44.0,1981-07-12,0,5.0,51.9,424.9,5732,940.76
261.5,38.9,45.4,1981-07-13,0,3.4,52.0,1292.4,5778,945.4
245.7,37.1,45.2,1981-07-14,0,6.4,50.3,313.8,5778,933.64
254.3,37.3,45.0,1981-07-15,1,5.1,47.2,1236.0,5774,923.73
257.1,39.5,44.4,1981-07-16,1,2.8,62.6,1541.4,5805,935.84
280.7,42.5,48.6,1981-07-17,0,4.0,72.6,1232.6,5818,995.1
249.4,40.9,45.6,1981-07-18,1,1.9000000000000004,67.7,1851.3999999999999,5808,987.59
247.0,41.3,47.4,1981-07-19,0,-1.5,65.0,2562.2000000000003,5770,982.5
242.6,39.7,44.4,1981-07-20,0,5.2,61.0,850.9,5830,931.06
215.7,33.3,42.0,1981-07-21,1,5.199999999999999,46.2,828.0999999999999,5792,935.95
221.1,36.1,47.0,1981-07-22,0,0.40000000000000036,46.5,2814.6,5758,918.73
250.8,38.1,50.0,1981-07-23,0,1.5999999999999996,43.0,-43.800000000000004,5749,889.92
259.1,38.5,46.8,1981-07-24,0,0.39999999999999947,59.9,3507.9,5803,987.56
239.4,32.9,47.0,1981-07-25,0,-2.0,60.0,4219.8,5826,987.53
221.2,34.9,46.2,1981-07-26,1,-3.5000000000000004,53.8,4290.0,5798,985.0
259.7,40.5,49.0,1981-07-27,0,-3.3000000000000003,63.5,4070.7,5783,987.56
221.1,36.3,46.8,1981-07-28,1,-6.0,57.3,4296.599999999999,5756,987.53
270.9,39.7,49.2,1981-07-29,0,-3.6999999999999997,66.6,3173.6,5825,984.94
251.9,40.5,45.6,1981-07-30,1,-2.3000000000000003,65.2,5625.4,5791,974.59
232.2,38.1,46.4,1981-07-31,1,3.5000000000000004,49.5,1141.2,5746,923.87
242.8,32.9,45.2,1981-08-01,0,2.2,53.8,1731.1999999999998,5791,983.12
188.0,32.3,42.8,1981-08-02,0,7.1,42.1,365.5,5751,903.46
271.9,35.5,44.2,1981-08-03,0,3.3000000000000003,48.6,2508.6,5795,938.34
261.2,38.7,46.8,1981-08-04,0,1.7000000000000002,50.9,943.8000000000001,5770,938.34
289.0,41.3,45.6,1981-08-05,0,4.4,60.5,1924.9,5789,947.68
251.0,32.7,47.0,1981-08-06,0,1.8000000000000007,47.6,1230.8,5769,913.48
244.2,30.7,38.6,1981-08-07,0,12.600000000000001,40.4,0.0,5782,860.42
365.0,36.7,40.0,1981-08-08,0,8.2,60.6,11.100000000000001,5796,938.29
299.7,37.3,43.6,1981-08-09,1,15.2,55.8,0.0,5843,878.41
266.0,33.7,42.4,1981-08-10,1,6.800000000000001,53.7,387.4,5842,923.65
260.2,35.7,43.2,1981-08-11,0,4.4,52.9,1126.9,5805,913.35
276.6,40.3,48.4,1981-08-12,1,-1.5,53.5,2220.4,5761,931.03
271.7,40.7,46.8,1981-08-13,0,-0.7000000000000002,58.0,997.6,5741,935.84
319.5,37.5,44.6,1981-08-14,0,5.1,56.1,2410.2999999999997,5756,935.87
305.7,37.3,43.6,1981-08-15,0,6.4,52.8,716.5999999999999,5762,949.99
215.7,26.5,42.4,1981-08-16,0,1.5999999999999996,43.8,5.900000000000006,5824,982.5
289.4,40.1,45.4,1981-08-17,1,2.7,70.9,1798.3,5836,992.6
271.2,43.9,49.2,1981-08-18,0,-3.2,56.8,4672.8,5812,930.87
240.3,36.7,47.2,1981-08-19,1,-3.6000000000000005,47.0,4821.8,5775,928.45
240.4,32.3,48.0,1981-08-24,0,-6.700000000000001,53.7,3761.6,5853,971.54
289.1,39.9,45.8,1981-08-25,1,-0.09999999999999964,62.1,769.4,5803,984.94
271.7,38.1,51.2,1981-08-26,0,-6.5,59.3,3702.0,5773,982.44
204.8,35.3,45.8,1981-08-27,0,-0.8000000000000003,52.6,1589.6000000000001,5766,972.15
215.7,36.3,45.2,1981-08-28,0,-0.39999999999999947,61.0,578.6,5815,982.44
265.2,39.9,43.0,1981-08-29,0,4.7,73.8,1241.3,5848,992.6
233.6,36.3,46.2,1981-08-30,1,-1.7999999999999998,59.1,3114.2999999999997,5800,992.6
336.4,42.3,53.0,1981-08-31,1,-5.0,60.6,3190.8,5784,992.57
